data.latitude,data.longitude,data.type,data.name,data.number,data.postal_code,data.street,data.confidence,data.region,data.region_code,data.county,data.locality,data.administrative_area,data.neighbourhood,data.country,data.country_code,data.continent,data.label
40.860198,-77.838617,region,Pennsylvania,NA,NA,NA,1,Pennsylvania,PA,NA,NA,NA,NA,United States,USA,North America,"Pennsylvania, USA"
-31.960773,115.834088,locality,Perth,NA,NA,NA,1,Western Australia,WA,Perth,Perth,Perth,NA,Australia,AUS,Oceania,"Perth, WA, Australia"
-31.960773,115.834088,locality,Perth,NA,NA,NA,1,Western Australia,WA,Perth,Perth,Perth,NA,Australia,AUS,Oceania,"Perth, WA, Australia"
35,105,country,China,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,China,CHN,Asia,China
-24.618994,25.929288,region,South-East,NA,NA,NA,0.3,South-East,GB,NA,NA,NA,NA,Botswana,BWA,Africa,"South-East, Botswana"
52.59431,-1.461208,macroregion,England,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,United Kingdom,GBR,Europe,"England, United Kingdom"
40.09095,-3.464618,country,Spain,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Spain,ESP,Europe,Spain
52.557366,-0.124229,locality,Whittlesey,NA,NA,NA,1,Cambridgeshire,NA,Cambridgeshire,Whittlesey,Whittlesey,NA,United Kingdom,GBR,Europe,"Whittlesey, England, United Kingdom"
52.557366,-0.124229,locality,Whittlesey,NA,NA,NA,1,Cambridgeshire,NA,Cambridgeshire,Whittlesey,Whittlesey,NA,United Kingdom,GBR,Europe,"Whittlesey, England, United Kingdom"
-11.928923,-49.542449,country,Brazil,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Brazil,BRA,South America,Brazil
40.652256,-73.956582,borough,Brooklyn,NA,NA,NA,1,New York,NY,Kings County,New York,NA,NA,United States,USA,North America,"Brooklyn, NY, USA"
40.652256,-73.956582,borough,Brooklyn,NA,NA,NA,1,New York,NY,Kings County,New York,NA,NA,United States,USA,North America,"Brooklyn, NY, USA"
51.305151,-0.409917,venue,Cobham Services,NA,KT11 3JS,NA,1,Surrey,NA,Surrey,Cobham,NA,NA,United Kingdom,GBR,Europe,"Cobham Services, Cobham, England, United Kingdom"
31.38604,-82.45347,locality,Crawley,NA,NA,NA,1,Georgia,GA,Ware County,Crawley,NA,NA,United States,USA,North America,"Crawley, GA, USA"
-24.618994,25.929288,region,South-East,NA,NA,NA,0.3,South-East,GB,NA,NA,NA,NA,Botswana,BWA,Africa,"South-East, Botswana"
-19.29882,29.916104,region,Midlands,NA,NA,NA,0.3,Midlands,MI,NA,NA,NA,NA,Zimbabwe,ZWE,Africa,"Midlands, Zimbabwe"
52.59431,-1.461208,macroregion,England,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,United Kingdom,GBR,Europe,"England, United Kingdom"
46.698481,2.549047,country,France,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,France,FRA,Europe,France
26.530786,-78.630123,region,City of Freeport,NA,NA,NA,0.3,City of Freeport,FP,NA,NA,NA,NA,The Bahamas,BHS,North America,"City of Freeport, The Bahamas"
40.653882,-73.585373,locality,Freeport,NA,NA,NA,1,New York,NY,Nassau County,Freeport,Hempstead,NA,United States,USA,North America,"Freeport, NY, USA"
42.383238,-71.142884,venue,Fresh Pond Reservation,NA,NA,NA,1,Massachusetts,MA,Middlesex County,Cambridge,Cambridge,NA,United States,USA,North America,"Fresh Pond Reservation, Cambridge, MA, USA"
50.970097,9.687096,country,Germany,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Germany,DEU,Europe,Germany
56.180632,-3.179161,locality,Glenrothes,NA,NA,NA,1,Fife,NA,Fife,Glenrothes,Fife,NA,United Kingdom,GBR,Europe,"Glenrothes, Scotland, United Kingdom"
56.180632,-3.179161,locality,Glenrothes,NA,NA,NA,1,Fife,NA,Fife,Glenrothes,Fife,NA,United Kingdom,GBR,Europe,"Glenrothes, Scotland, United Kingdom"
60.20787,24.99935,locality,Helsinki,NA,NA,NA,1,Uusimaa,NA,Helsinki,Helsinki,NA,NA,Finland,FIN,Europe,"Helsinki, Finland"
60.20787,24.99935,locality,Helsinki,NA,NA,NA,1,Uusimaa,NA,Helsinki,Helsinki,NA,NA,Finland,FIN,Europe,"Helsinki, Finland"
33.72148,73.04329,locality,Islamabad,NA,NA,NA,1,Islamabad,IS,NA,Islamabad,NA,NA,Pakistan,PAK,Asia,"Islamabad, Pakistan"
33.72148,73.04329,locality,Islamabad,NA,NA,NA,1,Islamabad,IS,NA,Islamabad,NA,NA,Pakistan,PAK,Asia,"Islamabad, Pakistan"
41.01384,28.94966,locality,Istanbul,NA,NA,NA,1,Istanbul,IB,Fatih,Istanbul,NA,NA,Turkey,TUR,Asia,"Istanbul, Turkey"
41.01384,28.94966,locality,Istanbul,NA,NA,NA,1,Istanbul,IB,Fatih,Istanbul,NA,NA,Turkey,TUR,Asia,"Istanbul, Turkey"
45.003229,11.083693,country,Italy,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Italy,ITA,Europe,Italy
28.537195,77.167729,venue,Jawaharlal Nehru University,NA,110067,NA,1,Delhi,DL,South West,Delhi,NA,JNU Campus Area,India,IND,Asia,"Jawaharlal Nehru University, Delhi, India"
52.087926,5.164229,venue,SRON Netherlands Institute for Space Research,NA,NA,NA,0.8,Utrecht,UT,NA,Utrecht,NA,The Uithof,Netherlands,NLD,Europe,"SRON Netherlands Institute for Space Research, Utrecht, Netherlands"
10.96389,-74.79639,locality,Barranquilla,NA,NA,NA,1,Atlántico,AT,Barranquilla,Barranquilla,NA,NA,Colombia,COL,South America,"Barranquilla, AT, Colombia"
25.766368,-80.210268,locality,Miami,NA,NA,NA,1,Florida,FL,Miami-Dade County,Miami,NA,NA,United States,USA,North America,"Miami, FL, USA"
40.68295,-73.9708,locality,New York,NA,NA,NA,0.6,New York,NY,Kings County,New York,NA,NA,United States,USA,North America,"New York, NY, USA"
40.68295,-73.9708,locality,New York,NA,NA,NA,1,New York,NY,Kings County,New York,NA,NA,United States,USA,North America,"New York, NY, USA"
31.110484,72.384598,region,Punjab,NA,NA,NA,1,Punjab,PB,NA,NA,NA,NA,Pakistan,PAK,Asia,"Punjab, Pakistan"
31.110484,72.384598,region,Punjab,NA,NA,NA,1,Punjab,PB,NA,NA,NA,NA,Pakistan,PAK,Asia,"Punjab, Pakistan"
51.509002,-0.139454,venue,Royal Academy of Arts,NA,W1J 0BD,Piccadilly,1,Greater London,NA,NA,London,NA,Mayfair,United Kingdom,GBR,Europe,"Royal Academy of Arts, London, England, United Kingdom"
11.156336,78.070632,venue,Sathambur Selliyamman Temple,NA,NA,NA,1,Tamil Nadu,TN,Namakkal,NA,NA,NA,India,IND,Asia,"Sathambur Selliyamman Temple, TN, India"
41.209015,-73.133855,locality,Stratford,NA,NA,NA,1,Connecticut,CT,Fairfield County,Stratford,Stratford,NA,United States,USA,North America,"Stratford, CT, USA"
51.539058,-0.003909,neighbourhood,Stratford,NA,NA,NA,0.6,Greater London,NA,NA,London,NA,Stratford,United Kingdom,GBR,Europe,"Stratford, London, England, United Kingdom"
-33.868633,151.209421,locality,Sydney,NA,NA,NA,1,New South Wales,NSW,Sydney,Sydney,Sydney,NA,Australia,AUS,Oceania,"Sydney, NSW, Australia"
-33.868633,151.209421,locality,Sydney,NA,NA,NA,1,New South Wales,NSW,Sydney,Sydney,Sydney,NA,Australia,AUS,Oceania,"Sydney, NSW, Australia"
-5.869032,34.800732000000004,country,Tanzania,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Tanzania,TZA,Africa,Tanzania
43.64877,-79.38171,locality,Toronto,NA,NA,NA,1,Ontario,ON,Toronto,Toronto,NA,NA,Canada,CAN,North America,"Toronto, ON, Canada"
43.64877,-79.38171,locality,Toronto,NA,NA,NA,1,Ontario,ON,Toronto,Toronto,NA,NA,Canada,CAN,North America,"Toronto, ON, Canada"
39.339547,34.51052,country,Turkey,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Turkey,TUR,Asia,Turkey
52.939703,-1.195916,venue,University of Nottingham,NA,NG7 2RD,University Boulevard,1,Nottinghamshire,NA,City of Nottingham,Nottingham,NA,NA,United Kingdom,GBR,Europe,"University of Nottingham, Nottingham, England, United Kingdom"
37.73086,-78.376655,region,Virginia,NA,NA,NA,1,Virginia,VA,NA,NA,NA,NA,United States,USA,North America,"Virginia, USA"
37.73086,-78.376655,region,Virginia,NA,NA,NA,1,Virginia,VA,NA,NA,NA,NA,United States,USA,North America,"Virginia, USA"
-6.169196,39.237333,region,Zanzibar West,NA,NA,NA,1,Zanzibar West,ZW,NA,NA,NA,NA,Tanzania,TZA,Africa,"Zanzibar West, Tanzania"
-6.169196,39.237333,region,Zanzibar West,NA,NA,NA,0.3,Zanzibar West,ZW,NA,NA,NA,NA,Tanzania,TZA,Africa,"Zanzibar West, Tanzania"
30.439988,-9.620044,locality,Agadir,NA,NA,NA,1,Suss-Massa-Draa,SM,NA,Agadir,NA,NA,Morocco,MAR,Africa,"Agadir, SM, Morocco"
30.439988,-9.620044,locality,Agadir,NA,NA,NA,1,Suss-Massa-Draa,SM,NA,Agadir,NA,NA,Morocco,MAR,Africa,"Agadir, SM, Morocco"
